district,population,dependance_eco,qualite_cadre_vie,transition_pauvrete,capital_humain,reseaux_territoires,dividende_demo
Abidjan,6321017,0.084,0.567,0.633,0.819,0.616,0.46
Yamoussoukro,422072,0.119,0.575,0.577,0.722,0.64,0.464
Bas-Sassandra,2687176,0.467,0.515,0.448,0.579,0.506,0.522
Comoé,1501336,0.123,0.52,0.506,0.653,0.58,0.436
Denguélé,436015,0.236,0.57,0.375,0.428,0.544,0.377
Goh-Djiboua,2088440,0.182,0.516,0.461,0.598,0.511,0.441
Lacs,1488531,0.097,0.561,0.467,0.603,0.557,0.391
Lagunes,2042623,0.021,0.587,0.466,0.675,0.531,0.294
Montagnes,3027023,0.107,0.5,0.473,0.533,0.529,0.365
Sassandra-Marahoué,2720876,0.251,0.518,0.45,0.58,0.495,0.458
Savanes,2159434,0.294,0.585,0.413,0.51,0.47,0.454
Vallée du Bandama,1964929,0.19,0.561,0.514,0.623,0.599,0.471
Woroba,1184813,0.476,0.544,0.391,0.473,0.505,0.468
Zanzan,1334865,0.024,0.532,0.383,0.529,0.5,0.289
