district,2015,2016,2017,2018,2019,2020
National,0.4396,0.4396,0.4396,0.3987,0.3987,0.3987
Abidjan,0.5884,0.5884,0.5884,0.4592,0.4592,0.4592
Yamoussoukro,0.3989,0.3989,0.3989,0.4599,0.4599,0.4599
Bas-Sassandra,0.5647,0.5647,0.5647,0.5025,0.5025,0.5025
Comoé,0.4841,0.4841,0.4841,0.4249,0.4249,0.4249
Denguélé,0.3873,0.3873,0.3873,0.3125,0.3125,0.3125
Gôh-Djiboua,0.4559,0.4559,0.4559,0.4258,0.4258,0.4258
Lacs,0.3989,0.3989,0.3989,0.3745,0.3745,0.3745
Lagunes,0.554,0.554,0.554,0.285,0.285,0.285
Montagnes,0.3663,0.3663,0.3663,0.3456,0.3456,0.3456
Sassandra-Marahoué,0.498,0.498,0.498,0.458,0.458,0.458
Savanes,0.342,0.342,0.342,0.321,0.321,0.321
Vallée du Bandama,0.471,0.471,0.471,0.471,0.471,0.471
Woroba,0.468,0.468,0.468,0.41,0.41,0.41
Zanzan,0.289,0.289,0.289,0.289,0.289,0.289
