district,2015,2016,2017,2018,2019,2020
National,0.382,0.382,0.382,0.1418,0.1418,0.1418
Abidjan,0.3432,0.3432,0.3432,0.0835,0.0835,0.0835
Yamoussoukro,0.28,0.28,0.28,0.119,0.119,0.119
Bas-Sassandra,0.7706,0.7706,0.7706,0.5025,0.5025,0.5025
Comoé,0.31,0.31,0.31,0.123,0.123,0.123
Denguélé,0.5418,0.5418,0.5418,0.2362,0.2362,0.2362
Gôh-Djiboua,0.42,0.42,0.42,0.182,0.182,0.182
Lacs,0.23,0.23,0.23,0.097,0.097,0.097
Lagunes,0.051,0.051,0.051,0.021,0.021,0.021
Montagnes,0.26,0.26,0.26,0.107,0.107,0.107
Sassandra-Marahoué,0.6,0.6,0.6,0.251,0.251,0.251
Savanes,0.4506,0.4506,0.4506,0.2942,0.2942,0.2942
Vallée du Bandama,0.45,0.45,0.45,0.19,0.19,0.19
Woroba,0.5418,0.5418,0.5418,0.4756,0.4756,0.4756
Zanzan,0.058,0.058,0.058,0.024,0.024,0.024
