district,2015,2016,2017,2018,2019,2020
National,0.549,0.549,0.549,0.6073,0.6073,0.6073
Abidjan,0.797,0.797,0.797,0.8165,0.8165,0.8165
Yamoussoukro,0.68,0.68,0.68,0.722,0.722,0.722
Bas-Sassandra,0.54,0.54,0.54,0.579,0.579,0.579
Comoé,0.6627,0.6627,0.6627,0.6422,0.6422,0.6422
Denguélé,0.2476,0.2476,0.2476,0.1947,0.1947,0.1947
Gôh-Djiboua,0.56,0.56,0.56,0.598,0.598,0.598
Lacs,0.57,0.57,0.57,0.603,0.603,0.603
Lagunes,0.63,0.63,0.63,0.675,0.675,0.675
Montagnes,0.5,0.5,0.5,0.533,0.533,0.533
Sassandra-Marahoué,0.54,0.54,0.54,0.58,0.58,0.58
Savanes,0.48,0.48,0.48,0.51,0.51,0.51
Vallée du Bandama,0.58,0.58,0.58,0.623,0.623,0.623
Woroba,0.2476,0.2476,0.2476,0.425,0.425,0.425
Zanzan,0.5,0.5,0.5,0.529,0.529,0.529
