district,2015,2016,2017,2018,2019,2020
National,0.59,0.59,0.59,0.542,0.542,0.542
Abidjan,0.5908,0.5908,0.5908,0.5682,0.5682,0.5682
Yamoussoukro,0.6319,0.6319,0.6319,0.5755,0.5755,0.5755
Bas-Sassandra,0.55,0.55,0.55,0.515,0.515,0.515
Comoé,0.57,0.57,0.57,0.52,0.52,0.52
Denguélé,0.6284,0.6284,0.6284,0.5701,0.5701,0.5701
Gôh-Djiboua,0.56,0.56,0.56,0.516,0.516,0.516
Lacs,0.6319,0.6319,0.6319,0.5615,0.5615,0.5615
Lagunes,0.62,0.62,0.62,0.587,0.587,0.587
Montagnes,0.54,0.54,0.54,0.5,0.5,0.5
Sassandra-Marahoué,0.56,0.56,0.56,0.518,0.518,0.518
Savanes,0.62,0.62,0.62,0.585,0.585,0.585
Vallée du Bandama,0.6,0.6,0.6,0.561,0.561,0.561
Woroba,0.58,0.58,0.58,0.544,0.544,0.544
Zanzan,0.57,0.57,0.57,0.532,0.532,0.532
