district,2015,2016,2017,2018,2019,2020
National,0.2474,0.2474,0.2474,0.3499,0.3499,0.3499
Abidjan,0.6273,0.6273,0.6273,0.6326,0.6326,0.6326
Yamoussoukro,0.4603,0.4603,0.4603,0.5773,0.5773,0.5773
Bas-Sassandra,0.46,0.46,0.46,0.506,0.506,0.506
Comoé,0.53,0.53,0.53,0.58,0.58,0.58
Denguélé,0.49,0.49,0.49,0.544,0.544,0.544
Gôh-Djiboua,0.46,0.46,0.46,0.511,0.511,0.511
Lacs,0.51,0.51,0.51,0.557,0.557,0.557
Lagunes,0.48,0.48,0.48,0.531,0.531,0.531
Montagnes,0.3771,0.3771,0.3771,0.473,0.473,0.473
Sassandra-Marahoué,0.45,0.45,0.45,0.495,0.495,0.495
Savanes,0.3471,0.3471,0.3471,0.4133,0.4133,0.4133
Vallée du Bandama,0.55,0.55,0.55,0.599,0.599,0.599
Woroba,0.46,0.46,0.46,0.505,0.505,0.505
Zanzan,0.45,0.45,0.45,0.5,0.5,0.5
