district,2015,2016,2017,2018,2019,2020
National,0.5367,0.5367,0.5367,0.6164,0.6164,0.6164
Abidjan,0.6956,0.6956,0.6956,0.8332,0.8332,0.8332
Yamoussoukro,0.4017,0.4017,0.4017,0.724,0.724,0.724
Bas-Sassandra,0.42,0.42,0.42,0.448,0.448,0.448
Comoé,0.46,0.46,0.46,0.506,0.506,0.506
Denguélé,0.3203,0.3203,0.3203,0.3032,0.3032,0.3032
Gôh-Djiboua,0.42,0.42,0.42,0.461,0.461,0.461
Lacs,0.43,0.43,0.43,0.467,0.467,0.467
Lagunes,0.43,0.43,0.43,0.466,0.466,0.466
Montagnes,0.43,0.43,0.43,0.473,0.473,0.473
Sassandra-Marahoué,0.41,0.41,0.41,0.45,0.45,0.45
Savanes,0.1727,0.1727,0.1727,0.4463,0.4463,0.4463
Vallée du Bandama,0.47,0.47,0.47,0.514,0.514,0.514
Woroba,0.36,0.36,0.36,0.391,0.391,0.391
Zanzan,0.35,0.35,0.35,0.383,0.383,0.383
