tranche,hommes,femmes,pct_hommes,pct_femmes
00-04 ans,1906917,1790086,12.44,12.75
05-09 ans,2046712,1904406,13.35,13.61
10-14 ans,1875826,1698378,12.23,12.1
15-19 ans,1698916,1529847,11.08,10.9
20-24 ans,1527477,1471432,9.96,10.48
25-29 ans,1210530,1239671,7.89,8.83
30-34 ans,1163810,1148262,7.59,8.18
35-39 ans,1033671,913882,6.74,6.51
40-44 ans,864744,665471,5.64,4.74
45-49 ans,608847,440727,3.97,3.14
50-54 ans,458575,360640,2.99,2.57
55-59 ans,308313,266697,2.01,1.9
60-64 ans,253030,223139,1.65,1.59
65-69 ans,162579,141821,1.06,1.01
70-74 ans,102763,101052,0.67,0.72
75-79 ans,55216,58934,0.36,0.42
80-84 ans,30662,39293,0.2,0.28
85 ans et +,26059,36528,0.17,0.26
