Region,Population,Croissance,Urbanisation,Indice_Fecondite,Esperance_Vie
Abidjan,"6 321 017",2.8%,100%,3.2,62.1
Bouaké,"1 245 670",2.1%,72%,4.1,57.8
Yamoussoukro,"422 000",2.5%,85%,3.8,58.5
San-Pédro,"350 000",3.1%,60%,4.5,56.2
Korhogo,"440 000",2.4%,45%,5.2,54.1
Man,"210 000",1.9%,40%,5.5,55.3
Daloa,"319 000",2.2%,50%,4.9,56.0
Gagnoa,"280 000",2.0%,48%,5.0,55.8
Abengourou,"245 000",1.8%,42%,4.7,56.5
Divo,"215 000",1.7%,38%,5.1,55.0
Bondoukou,"195 000",2.3%,35%,5.4,53.8
Odienné,"160 000",2.6%,32%,5.8,52.5
